id;budget;genres;imdb_id;original_language;original_title;overview;popularity;production_companies;production_countries;release_date;revenue;runtime;spoken_languages;status;tagline;title;vote_average;vote_count;production_companies_number;production_countries_number;spoken_languages_number
232;10000000;Action|Adventure|Crime|Drama|Romance;tt0086216;en;Rumble Fish;Rusty James, an absent-minded street thug struggles to live up to his legendary older brother's reputation, and longs for the days when gang warfare was going on.;1.054645;Universal Pictures;United States of America;20/10/1983;2494480;94;English;Released;Rusty James can't live up to his brother's reputation. His brother can't live it down.;Rumble Fish;6.8;130;1;1;1
233;0;Drama;tt0080117;en;The Wanderers;The streets of the Bronx are owned by 60’s youth gangs where the joy and pain of adolescence is lived. Philip Kaufman tells his take on the novel by Richard Price about the history of the Italian-American gang ‘The Wanderers.’;1.045574;Orion Pictures Corporation;United States of America;13/07/1979;23000000;117;English;Released;It was the Wanderer's Against The World...;The Wanderers;7.2;52;2;1;1
234;18000;Drama|Horror|Thriller|Crime;tt0010323;de;Das Cabinet des Dr. Caligari;The Cabinet of Dr. Caligari is eerie and expressionistic, silent and surreal. It has become not only a classic of German Expressionist cinema, but a landmark in film history, with creative scenery and an unusual ending.;1.572642;Decla Film Gesellschaft Holz & Co.;Germany;25/02/1920;0;78;No Language;Released;You must become Caligari.;The Cabinet of Dr. Caligari;7.7;247;1;1;1
235;8000000;Crime|Drama;tt0092005;en;Stand by Me;After the death of a friend, a writer recounts a boyhood journey to find the body of a missing boy.;5.338218;Columbia Pictures;United States of America;22/08/1986;52287000;89;English;Released;For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.;Stand by Me;7.7;1382;4;1;1
236;3000000;Drama|Comedy|Romance;tt0110598;en;Muriel's Wedding;Muriel’s Wedding is P.J. Hogan’s film debut. A humorous emancipation story of an unemployed woman who evolves from a dreamer into a self sustaining successful woman. An amusing comedy that’s funny, silly, angry and serious.;1.830261;Ciby 2000;Australia;29/09/1994;15119639;106;English;Released;Success is the best revenge.;Muriel's Wedding;6.9;94;3;2;1
237;6400000;Drama|Thriller|Crime|Romance;tt0289635;en;Young Adam;A young drifter working on a river barge disrupts his employers' lives while hiding the fact that he knows more about a dead woman found in the river than he admits.;1.189534;Recorded Picture Company (RPC);France;26/09/2003;2500000;93;English;Released;Everyone has a past. Everyone has a secret.;Young Adam;6.0;41;1;2;1
238;6000000;Drama|Crime;tt0068646;en;The Godfather;Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.;8.696299;Paramount Pictures;United States of America;14/03/1972;245066411;175;English;Released;An offer you can't refuse.;The Godfather;8.4;5478;2;1;3
239;2883848;Comedy|Romance;tt0053291;en;Some Like It Hot;Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.;3.883068;The Mirisch Corporation;United States of America;18/03/1959;25000000;122;English;Released;The movie too HOT for words!;Some Like It Hot;7.9;721;2;1;1
240;13000000;Drama|Crime;tt0071562;en;The Godfather: Part II;In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.;6.988872;Paramount Pictures;United States of America;20/12/1974;47542841;200;English;Released;I don't feel I have to wipe everybody out, Tom. Just my enemies.;The Godfather: Part II;8.2;3079;2;1;4
241;34000000;Crime|Thriller|Drama;tt0110632;en;Natural Born Killers;Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.;3.201718;Regency Enterprises;United States of America;25/08/1994;50282766;119;English;Released;The Media Made Them Superstars.;Natural Born Killers;6.9;849;6;1;3
242;54000000;Crime|Drama|Thriller;tt0099674;en;The Godfather: Part III;In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.;4.410688;Paramount Pictures;Italy;24/12/1990;136766062;162;English;Released;All the power on earth can't change destiny.;The Godfather: Part III;7.1;1405;1;2;4
243;30000000;Comedy|Drama|Romance|Music;tt0146882;en;High Fidelity;When record store owner Rob Gordon gets dumped by his girlfriend, Laura, because he hasn't changed since they met, he revisits his top five breakups of all time in an attempt to figure out what went wrong. As Rob seeks out his former lovers to find out why they left, he keeps up his efforts to win Laura back.;1.986136;Buena Vista;United Kingdom;17/03/2000;47126295;113;Dansk;Released;A comedy about fear of commitment, hating your job, falling in love and other pop favorites.;High Fidelity;7.0;589;2;2;2
244;672000;Action|Adventure|Drama|Horror;tt0024216;en;King Kong;An adventure film about a film crew in search of a monster on a remote island. The crew finds King Kong and decides to take him back to New York as a money making spectacle. The film is a masterpiece of Stop-Motion in filmmaking history and inspired a line of King Kong films.;1.52543;RKO Radio Pictures;United States of America;07/04/1933;10000000;100;English;Released;A Monster of Creation's Dawn Breaks Loose in Our World Today!;King Kong;7.7;314;1;1;1
245;27000000;Drama|Comedy|Romance;tt0276751;en;About a Boy;Will Freeman is a hip Londoner who one day realizes that his friends are all involved with the responsibilities of married life and that leaves him alone in the cold. Passing himself off as a single father, he starts to meet a string of single mums, confident in his ability to leave them behind when they start to ask for a commitment. But Will's hope of a continued bachelorhood is interrupted when he meets 12-year old Marcus, in many ways his complete opposite.;3.256029;Universal Pictures;United Kingdom;26/04/2002;129000000;101;English;Released;One ordinary couple. One little white lie.;About a Boy;6.6;567;1;2;1
246;0;Adventure|Drama|Action;tt0363226;ja;座頭市;Zatôichi is a 19th century blind nomad who makes his living as a gambler and masseur. However, behind this humble facade, he is a master swordsman gifted with a lightning-fast draw and breathtaking precision. While wandering, Zatôichi discovers a remote mountain village at the mercy of Ginzo, a ruthless gang-leader. Ginzo disposes of anyone who gets in his way, especially after hiring the mighty samurai ronin, Hattori, as a bodyguard. After a raucous night of gambling in town, Zatôichi encounters a pair of geishas--as dangerous as they are beautiful--who've come to avenge their parents' murder. As the paths of these and other colorful characters intertwine, Ginzo's henchmen are soon after Zatôichi. With his legendary cane sword at his side, the stage is set for a riveting showdown.;2.260538;Office Kitano;Japan;06/09/2003;0;111;日本語;Released;His sword made him a hero... his courage made him a legend.;Zatoichi;7.3;219;4;1;1
247;320000;Drama|Action|Thriller|Crime;tt0049406;en;The Killing;The Killing was Stanley Kubrick’s first film with a professional cast and the first time he achieved public recognition as the unconventional director he’s now known for. The story is of ex-prisoners who plan to set up a racetrack so they can live a life without monetary worries. One of the more exceptional films of the 1950’s.;2.701608;United Artists;United States of America;08/05/1956;0;85;English;Released;"...Like No Other Picture Since ""Scarface"" and ""Little Caesar""!";The Killing;7.6;264;2;1;1
248;2900000;Comedy|Drama;tt0055312;en;Pocketful of Miracles;Damon Runyon's fairytale, sweet and funny, is told by director Frank Capra. Boozy, brassy Apple Annie, a beggar with a basket of apples, is as much as part of downtown New York as old Broadway itself. Bootlegger Dave the Dude is a sucker for her apples --- he thinks they bring him luck. But Dave and girlfriend Queenie Martin need a lot more than luck when it turns out that Annie is in a jam and only they can help: Annie's daughter Louise, who has lived all her life in a Spanish convent, is coming to America with a Count and his son. The count's son wants to marry Louise, who thinks her mother is part of New York society. It's up to Dave and Queenie and their Runyonesque cronies to turn Annie into a lady and convince the Count and his son that they are hobnobbing with New York's elite.;0.238717;Franton Production;United States of America;18/12/1961;5000000;136;English;Released;You have to see it to believe it!;Pocketful of Miracles;7.1;22;1;1;2
249;0;Comedy|Drama|Thriller;tt0098621;en;The War of the Roses;The Roses, Barbara and Oliver, live happily as a married couple. Then she starts to wonder what life would be like without Oliver, and likes what she sees. Both want to stay in the house, and so they begin a campaign to force each other to leave. In the middle of the fighting is D'Amato, the divorce lawyer. He gets to see how far both will go to get rid of the other, and boy do they go far.;1.733843;Gracie Films;United States of America;08/12/1989;0;116;English;Released;Once in a lifetime comes a motion picture that makes you feel like falling in love all over again. This is not that movie.;The War of the Roses;6.6;259;2;1;1
250;0;Action|Comedy|Crime;tt0180748;da;I Kina spiser de hunde;An intent fast paced Danish dark comedy film about two separately motivated brothers who with their slightly psychopathic tendencies end up in a touchy situation. One brother gets in serious trouble after a bank robbery and begs the other brother for help.;0.901094;Steen Herdel Filmproduktion;Denmark;10/09/1999;0;91;Dansk;Released;;In China They Eat Dogs;7.4;78;1;1;4
251;22000000;Fantasy|Drama|Thriller|Mystery|Romance;tt0099653;en;Ghost;Sam Wheat is a banker, Molly Jensen is an artist, and the two are madly in love. However, when Sam is murdered by his friend and corrupt business partner Carl Bruner over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons.;3.245491;Paramount Pictures;United States of America;12/07/1990;505000000;127;English;Released;A love that will last forever.;Ghost;6.8;1213;1;1;1
252;3000000;Family|Fantasy;tt0067992;en;Willy Wonka & the Chocolate Factory;Eccentric candy man Willy Wonka prompts a worldwide frenzy when he announces that golden tickets hidden inside five of his delicious candy bars will admit their lucky holders into his top-secret confectionary. But does Wonka have an agenda hidden amid a world of Oompa Loompas and chocolate rivers?;2.934258;Paramount Pictures;United States of America;29/06/1971;4000000;100;English;Released;It's Scrumdiddlyumptious!;Willy Wonka & the Chocolate Factory;7.4;735;2;1;3
253;7000000;Adventure|Action|Thriller;tt0070328;en;Live and Let Die;James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.;3.928583;United Artists;United Kingdom;05/07/1973;161777836;121;English;Released;Roger Moore is James Bond.;Live and Let Die;6.4;496;3;1;2
254;207000000;Adventure|Drama|Action;tt0360717;en;King Kong;In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.;5.374895;WingNut Films;New Zealand;14/12/2005;550000000;187;English;Released;The eighth wonder of the world.;King Kong;6.6;2139;4;3;1
255;350000;Comedy|Drama|Romance;tt0062695;fr;Baisers volés;Baisers voles is the second of two films from the ‘Antonie-Doinel-Zyklus’ by French director Truffaut. The film depicts the life of a young twenty year old man who’s life revolves around casual jobs and women, especially young violinist Christine Darbon (Claude Jade's screen-debut).;1.848402;Les Films du Carrosse;France;13/08/1968;0;96;Français;Released;;Stolen Kisses;7.4;53;2;1;1
256;0;Drama;tt1180329;fr;Antoine et Colette;Now aged 17, Antoine Doinel works in a factory which makes records. At a music concert, he meets a girl his own age, Colette, and falls in love with her. Later, Antoine goes to extraordinary lengths to please his new girlfriend and her parents, but Colette still only regards him as a casual friend.;0.388413;Ulysse Production;France;22/06/1962;0;29;Français;Released;;Antoine and Colette;7.1;18;3;1;1
257;50000000;Crime|Drama|Family;tt0380599;en;Oliver Twist;Oliver Twist the modern filmed version of Charles Dickens bestseller, a Roman Polanski adaptation. The classic Dickens tale, where an orphan meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master.;2.742204;R.P. Productions;Czech Republic;23/09/2005;42093706;130;English;Released;;Oliver Twist;6.7;247;3;4;1
258;0;Comedy|Drama|Romance;tt0065651;fr;Domicile Conjugal;Bed and Board depicts Christine and Antoine having just gotten married yet things fall apart as they are unfaithful.;0.491017;Valoria Films;France;31/08/1970;0;100;Français;Released;;Bed and Board;7.1;35;2;1;1
259;0;Comedy|Drama|Romance;tt0078771;fr;L'amour en fuite;Antoine Doinel is now more than thirty. He divorces from Christine. He is a proofreader, and is in love with Sabine, a record seller. Colette, his teenager love, is now a lawyer. She buys Antoine's first published autobiographical novel. They meet again in a station...;0.654659;Les Films du Carrosse;France;24/01/1979;0;89;Français;Released;;Love on the Run;6.8;16;1;1;1
260;0;Action|Thriller|Mystery;tt0026029;en;The 39 Steps;"While on vacation in London, Canadian Richard Hannay becomes embroiled in an international spy ring related to the mysterious ""39 steps."" Then he meets agent Annabella Smith, who is soon killed in his apartment. He must elude the police, who are hunting him for murder, while he tries to stop Professor Jordan from sending secrets out of the country. Hannay is assisted by Pamela, an unwilling accomplice who discovers the truth.";0.966749;Gaumont British Picture Corporation;United Kingdom;01/06/1935;0;86;English;Released;Handcuffed to the girl who double-crossed him;The 39 Steps;7.4;196;2;1;1
261;3000000;Drama|Romance;tt0051459;en;Cat on a Hot Tin Roof;Brick, an alcoholic ex-football player, drinks his days away and resists the affections of his wife, Maggie. His reunion with his father, Big Daddy, who is dying of cancer, jogs a host of memories and revelations for both father and son.;1.735698;Avon Production;United States of America;17/02/1958;17570324;108;English;Released;Just one pillow on her bed ... and just one desire in her heart!;Cat on a Hot Tin Roof;7.6;153;2;1;1
262;20000000;Comedy|Drama;tt0085794;en;The King of Comedy;Aspiring comic Rupert Pupkin attempts to achieve success in show business by stalking his idol, a late night talk-show host who craves his own privacy.;2.671776;Twentieth Century Fox Film Corporation;United States of America;18/02/1983;0;109;English;Released;It's No Laughing Matter.;The King of Comedy;7.5;260;2;1;1
265;0;War|Drama|Romance;tt0082661;de;Lili Marleen;Lili Marleen is the story of a German singer named Wilkie who while working in Switzerland falls in love with a Jewish composer named Robert who’s family is helping people to flee from the Nazis. Roberts family is skeptical of Walkie thinking she could be a Nazi as she becomes famous for singing Lili Marleen.;0.282341;Roxy Film;Germany;14/01/1981;0;120;Deutsch;Released;;Lili Marleen;5.5;14;4;1;1
266;900000;Drama;tt0057345;fr;Le Mépris;Screenwriter Paul Javal's marriage to his wife Camille disintegrates during a film production as she spends time with its producer.;1.12415;Rome Paris Films;France;21/10/1963;528428;103;English;Released;More Bold! More Brazen! And Much, Much More Bardot!;Contempt;7.5;123;3;2;4
267;103;Drama|Romance|Thriller;tt0118819;es;Carne trémula;A scorned ex-convict forces himself into the lives of the couple who put him behind bars.;1.504552;El Deseo;France;28/10/1997;0;103;Español;Released;Life, love, desire... and everything in between.;Live Flesh;7.2;75;3;2;1
268;35000000;Fantasy|Action;tt0096895;en;Batman;The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker, who has seized control of Gotham's underworld.;5.169446;PolyGram Filmed Entertainment;United Kingdom;23/06/1989;411348924;126;English;Released;Have you ever danced with the devil in the pale moonlight?;Batman;7.0;1923;3;2;2
269;0;Drama|Crime;tt0053472;fr;À bout de souffle;A young car thief kills a policeman and tries to persuade a girl to hide in Italy with him.;2.040994;Société Nouvelle de Cinématographie;France;16/03/1960;0;90;Français;Released;The film that was banned for 4 years. Why..?;Breathless;7.8;281;3;1;2
270;350000;Comedy|Drama|Fantasy;tt0997275;de;Wir sagen Du! Schatz.;Oliver doesn’t have a family so he steals one.;0.213325;miko-film;Germany;01/11/2007;0;98;Deutsch;Released;;Wir sagen Du! Schatz.;3.8;2;1;1;1
271;0;Adventure|Drama|Fantasy|Family;tt0088015;sv;Ronja Rövardotter;Ronya lives happily in her father's castle until she comes across a new playmate, Birk, in the nearby dark forest. The two explore the wilderness, braving dangerous Witchbirds and Rump-Gnomes. But when their families find out Birk and Ronja have been playing together, they forbid them to see each other again. Indeed, their fathers are competing robber chieftains and bitter enemies. Now the two spunky children must try to tear down the barriers that have kept their families apart for so long.;2.055808;AB Svenska Ord;Norway;20/12/1984;0;126;svenska;Released;;Ronja Robbersdaughter;6.5;55;4;2;1
272;150000000;Action|Crime|Drama;tt0372784;en;Batman Begins;Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.;9.809437;DC Comics;United Kingdom;10/06/2005;374218673;140;English;Released;Evil fears the knight.;Batman Begins;7.5;6814;6;2;3
273;250000;Drama;tt0276617;de;Das weisse Rauschen;Lukas, a young schizophrenic man, has to deal with a new town, a new relationship, and the paranoia in his head.;0.358953;Cameo Film- und Fernsehproduktion;Germany;31/12/2001;0;107;Deutsch;Released;;The White Sound;7.0;16;2;1;1
274;19000000;Crime|Drama|Thriller;tt0102926;en;The Silence of the Lambs;FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.;1.505586;Orion Pictures;United States of America;01/02/1991;272742922;119;English;Released;To enter the mind of a killer she must challenge the mind of a madman.;The Silence of the Lambs;8.0;4092;2;1;1
275;7000000;Crime|Drama|Thriller;tt0116282;en;Fargo;Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!;4.745945;PolyGram Filmed Entertainment;United States of America;05/04/1996;60611975;98;English;Released;A lot can happen in the middle of nowhere.;Fargo;7.7;1853;2;1;1
276;0;Drama|Comedy;tt0408777;de;Die fetten Jahre sind vorbei;Three activists cobble together a kidnapping plot after they encounter a businessman in his home.;0.580088;Y3 Film;Austria;25/10/2004;0;127;Deutsch;Released;Every heart is a revolutionary cell.;The Edukators;7.1;77;4;2;1
277;22000000;Fantasy|Action|Thriller;tt0320691;en;Underworld;Vampires and werewolves have waged a nocturnal war against each other for centuries. But all bets are off when a female vampire warrior named Selene, who's famous for her strength and werewolf-hunting prowess, becomes smitten with a peace-loving male werewolf, Michael, who wants to end the war.;6.34176;Lakeshore Entertainment;Germany;19/09/2003;95708457;121;English;Released;An immortal battle for supremacy.;Underworld;6.6;2370;5;4;1
278;25000000;Drama|Crime;tt0111161;en;The Shawshank Redemption;Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.;10.7546;Castle Rock Entertainment;United States of America;23/09/1994;28341469;142;English;Released;Fear can hold you prisoner. Hope can set you free.;The Shawshank Redemption;8.5;7711;1;1;1
279;18000000;Drama|History|Music;tt0086879;en;Amadeus;The incredible story of genius musician Wolfgang Amadeus Mozart, told in flashback by his peer and secret rival Antonio Salieri – now confined to an insane asylum.;3.354214;Warner Bros.;United States of America;26/10/1984;51973029;160;English;Released;...Everything you've heard is true;Amadeus;7.8;982;1;1;4
280;100000000;Action|Thriller|Science Fiction;tt0103064;en;Terminator 2: Judgment Day;Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.;7.767018;Lightstorm Entertainment;France;01/07/1991;520000000;137;English;Released;It's nothing personal.;Terminator 2: Judgment Day;7.7;3928;5;2;2
281;42000000;Crime|Drama|Science Fiction|Thriller;tt0114558;en;Strange Days;Set in the year 1999 during the last days of the old millennium, the movie tells the story of Lenny Nero, an ex-cop who now deals with data-discs containing recorded memories and emotions. One day he receives a disc which contains the memories of a murderer killing a prostitute. Lenny investigates and is pulled deeper and deeper in a whirl of blackmail, murder and rape. Will he survive and solve the case?;2.498966;Lightstorm Entertainment;United States of America;13/10/1995;7959291;145;English;Released;You know you want it.;Strange Days;6.8;308;1;1;1
284;3000000;Comedy|Drama|Romance;tt0053604;en;The Apartment;Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.;2.361428;United Artists;United States of America;15/06/1960;25000000;125;English;Released;Movie-wise, there has never been anything like it - laugh-wise, love-wise, or otherwise-wise!;The Apartment;8.1;435;2;1;1
285;300000000;Adventure|Fantasy|Action;tt0449088;en;Pirates of the Caribbean: At World's End;Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.;11.025689;Walt Disney Pictures;United States of America;19/05/2007;961000000;169;English;Released;At the end of the world, the adventure begins.;Pirates of the Caribbean: At World's End;6.9;4076;3;1;1
286;0;Documentary;tt0853060;de;Deutschland. Ein Sommermärchen;A documentary of the German National soccer team’s 2006 World Cup experience that changed the face of modern Germany.;0.177792;Little Shark Entertainment GmbH;Germany;03/10/2006;0;107;Deutsch;Released;;Germany: A Summer's Fairytale;7.3;14;1;1;1
287;7000000;Comedy|Romance;tt0094812;en;Bull Durham;"Veteran catcher Crash Davis is brought to the minor league Durham Bulls to help their up and coming pitching prospect, ""Nuke"" Laloosh. Their relationship gets off to a rocky start and is further complicated when baseball groupie Annie Savoy sets her sights on the two men.";2.010457;Orion Pictures;United States of America;15/06/1988;50888000;108;English;Released;Romance is a lot like baseball. It's not whether you win or lose. It's how you play the game.;Bull Durham;6.6;143;2;1;2
288;730000;Western;tt0044706;en;High Noon;High Noon is about a recently freed leader of a gang of bandits in the desert who is looking to get revenge on the Sheriff who put him in jail. A legendary western film from the Austrian director Fred Zinnemann.;2.659092;United Artists;United States of America;27/03/1952;8000000;85;English;Released;The story of a man who was too proud to run.;High Noon;7.5;306;2;1;1
289;878000;Drama|Romance;tt0034583;en;Casablanca;In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.;3.797843;Warner Bros.;United States of America;26/11/1942;10462500;102;Deutsch;Released;They had a date with fate in Casablanca!;Casablanca;7.9;1318;1;1;4
290;9000000;Comedy|Drama;tt0101410;en;Barton Fink;A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.;1.454793;Twentieth Century Fox Film Corporation;United Kingdom;01/08/1991;6153939;116;English;Released;There's only one thing stranger than what's going on inside his head. What's going on outside.;Barton Fink;7.3;406;3;2;1
291;2600000;Documentary;tt0389326;en;Riding Giants;Riding Giants is story about big wave surfers who have become heroes and legends in their sport. Directed by the skateboard guru Stacy Peralta.;0.39293;none;France;09/07/2004;3166000;105;English;Released;;Riding Giants;7.5;22;0;2;1
292;3000000;Comedy|Documentary|Music;tt0425598;en;Dave Chappelle's Block Party;The American comedian/actor delivers a story about the alternative Hip Hop scene. A small town Ohio man’s moves to Brooklyn, New York, to throw an unprecedented block party. Filmed with inspiration from the 1973 documentary Wattstax.;0.46172;Yari Film Group;United States of America;12/09/2005;11718595;100;English;Released;;Dave Chappelle's Block Party;6.4;27;1;1;2
293;0;Drama;tt0105265;en;A River Runs Through It;A River Runs Through is a cinematographically stunning true story of Norman Maclean. The story follows Norman and his brother Paul through the experiences of life and growing up, and how their love of fly fishing keeps them together despite varying life circumstances in the untamed west of Montana in the 1920's.;2.383894;Columbia Pictures;United States of America;09/10/1992;43440294;123;English;Released;The Story of an American Family.;A River Runs Through It;6.9;217;1;1;1
294;350000;Drama|Romance;tt0089015;en;Desert Hearts;The story of straight-edge literature professor Vivian who travels to Reno to get away from a relationship breakup when she falls in love with an attractive and unconventional girl named Cay.;0.86301;The Samuel Goldwyn Company;United States of America;01/10/1985;2400000;96;English;Released;;Desert Hearts;6.7;21;2;1;1
296;200000000;Action|Thriller|Science Fiction;tt0181852;en;Terminator 3: Rise of the Machines;It's been 10 years since John Connor saved Earth from Judgment Day, and he's now living under the radar, steering clear of using anything Skynet can trace. That is, until he encounters T-X, a robotic assassin ordered to finish what T-1000 started. Good thing Connor's former nemesis, the Terminator, is back to aid the now-adult Connor … just like he promised.;5.894657;Columbia Pictures;Germany;02/07/2003;435000000;109;English;Released;The Machines Will Rise.;Terminator 3: Rise of the Machines;5.9;1995;6;3;1
297;90000000;Fantasy|Drama|Mystery;tt0119643;en;Meet Joe Black;"When the grim reaper comes to collect the soul of megamogul Bill Parrish, he arrives with a proposition: Host him for a ""vacation"" among the living in trade for a few more days of existence. Parrish agrees, and using the pseudonym Joe Black, Death begins taking part in Parrish's daily agenda and falls in love with the man's daughter. Yet when Black's holiday is over, so is Parrish's life.";2.594261;Universal Pictures;United States of America;12/11/1998;142940100;178;English;Released;Sooner or later everyone does.;Meet Joe Black;6.9;1047;2;1;1
298;85000000;Crime|Thriller;tt0496806;en;Ocean's Thirteen;Danny Ocean's team of criminals are back and are composing a plan more personal than ever. When ruthless casino owner Willy Bank double-crosses Reuben Tishkoff, causing a heart attack, Danny Ocean vows that him and his team will do anything to bring Willy Bank and everything he's got down. Even if it includes hiring help from one of their own enemies, Terry Benedict.;4.329217;Village Roadshow Pictures;United States of America;07/06/2007;311312624;122;Español;Released;What are the odds of getting even? 13 to one.;Ocean's Thirteen;6.5;1879;4;1;3
299;0;Thriller|Music|Comedy|Crime;tt0054135;en;Ocean's Eleven;Ocean's Eleven is the 'Rat-Pack' comedy about robber Danny Ocean and his gang's attempt to rob the five biggest casinos in Las Vegas.;2.070232;Warner Bros.;United States of America;10/08/1960;0;127;English;Released;In any other town they'd be the bad guys...;Ocean's Eleven;6.6;72;2;1;1
300;6000000;Comedy|Drama|Fantasy;tt0354899;fr;La science des rêves;A man entranced by his dreams and imagination is lovestruck with a French woman and feels he can show her his world.;0.660337;Gaumont;France;11/02/2006;9524340;105;English;Released;Close your eyes. Open your heart.;The Science of Sleep;6.8;230;6;2;3
301;0;Western;tt0053221;en;Rio Bravo;The sheriff of a small town in southwest Texas must keep custody of a murderer whose brother, a powerful rancher, is trying to help him escape. After a friend is killed trying to muster support for him, he and his deputies - a disgraced drunk and a cantankerous old cripple - must find a way to hold out against the rancher's hired guns until the marshal arrives. In the meantime, matters are complicated by the presence of a young gunslinger - and a mysterious beauty who just came in on the last stagecoach.;2.408634;Warner Bros.;United States of America;17/03/1959;5800000;141;English;Released;They fought back to back...No quarter given...No quarter asked...No way in...No way out...of Rio Bravo;Rio Bravo;7.5;236;1;1;2
302;7800000;Thriller|Crime;tt0324133;en;Swimming Pool;In the middle of this amusing thriller is a relationship between two different types of females, one is a well know British author and the other is a sex-crazed French teen. The two get into some relationship trouble while living together in this film of psychological imagery and an erotic exploration of the female body.;1.483939;France 2 Cinéma;France;18/05/2003;22441323;102;English;Released;On the surface, all is calm;Swimming Pool;6.4;142;6;2;2
303;2000000;Thriller|Drama|Romance;tt0038787;en;Notorious;Released shortly after the war, this classic Hitchcock film illustrates the battle between German Nazis and American spies in Rio de Janeiro where a German businessman keeps a wine cellar with uranium ore.;3.061216;RKO Radio Pictures;United States of America;15/08/1946;24464742;102;English;Released;Notorious woman of affairs... Adventurous man of the world;Notorious;7.7;307;1;1;1
306;50000000;Action|Comedy|Crime;tt0109254;en;Beverly Hills Cop III;Back in sunny southern California and on the trail of two murderers, Axel Foley again teams up with LA cop Billy Rosewood. Soon, they discover that an amusement park is being used as a front for a massive counterfeiting ring – and it's run by the same gang that shot Billy's boss.;2.607389;Paramount Pictures;United States of America;24/05/1994;119208989;104;English;Released;;Beverly Hills Cop III;5.5;406;2;1;1
307;0;Drama|History;tt0038890;it;Roma città aperta;Open City is a landmark in film history. Filmed in secrecy during the Nazi occupation of Italy, the film shows a realistic portrayal of the underground resistance in Italy in 1945. The film has strong impacting imagery with it’s mix of fiction and reality that strengthened Italian Neo-realism and the film industry.;1.492925;Minerva Film SpA;Italy;27/09/1945;0;100;Deutsch;Released;Powerful Portrayal of Dignity and Courage;Rome, Open City;7.9;108;2;1;2
308;10000000;Comedy|Drama|Mystery|Romance;tt0412019;en;Broken Flowers;As the devoutly single Don Johnston is dumped by his latest girlfriend, he receives an anonymous pink letter informing him that he has a son who may be looking for him.;1.23351;Bac Films;France;17/05/2005;45742101;105;English;Released;Sometimes life brings some strange surprises.;Broken Flowers;6.8;334;3;2;1
